code,libelle,type,code_dren,lib_dren
036080,"INSTITUT D'ENSEIGNEMENT SECONDAIRE TECHNIQUE SAINTE
BRIGITTE 1 ABOBO",PRIVE,41,ABIDJAN 4
036086,"INSTITUT DE FORMATION PROFESSIONNELLE AZING IVOIR
YOPOUGON",PRIVE,40,ABIDJAN 3
036093,INSTITUT DELAFOSSE YOPOUGON,PRIVE,40,ABIDJAN 3
036094,INSTITUT D'ENSEIGNEMENT TECHNIQUE SAINT CYR YOPOUGON,PRIVE,40,ABIDJAN 3
036095,"INSTITUT DES ARTS ET METIERS DE LA MODE (INAMAZ) AKOUPE
ZEUDJI",PRIVE,41,ABIDJAN 4
036100,INSTITUT INTERNATIONAL DES SPECIALITES (2.I.S) YOPOUGON,PRIVE,40,ABIDJAN 3
036121,INSTITUT TECHNIQUE SAINT CYR DE MOLIERE PORT-BOUET,PRIVE,31,ABIDJAN 2
036122,INSTITUT TECHNIQUE SAINT CYR KOUMASSI,PRIVE,31,ABIDJAN 2
036125,IVOIRE CHALLENGE ABOBO,PRIVE,41,ABIDJAN 4
037007,"CENTRE D'ETUDES SUPERIEURES DES AFFAIRES D'ABIDJAN ( CESA
) KOUMASSI",PRIVE,31,ABIDJAN 2
037017,COLLEGE LE PANTHEON WILLIAMSVILLE,PRIVE,12,ABIDJAN 1
037039,CTP SAINT ALBERT CAMUS ADJAME,,,
037059,GROUPE ECOLES BETHEL COCODY,PRIVE,12,ABIDJAN 1
037064,GROUPE SCOLAIRE LEGRAND ABOBO,,,
037066,GROUPE SCOLAIRE LOUIS LAGRANGE YOPOUGON,,,
037087,INSTITUT DES SCIENCES APPLIQUEES (ISA),PRIVE,12,ABIDJAN 1
037089,"INSTITUT INTERNATIONAL DE FORMATION TECHNIQUE (IIFORT)
YOPOUGON WASSAKARA",PRIVE,40,ABIDJAN 3
037101,"INSTITUT SUPERIEUR DES CARRIERES COMMERCIALES (ISCC)
COCODY 2 PLATEAUX",PRIVE,12,ABIDJAN 1
037105,INSTITUT TECHNIQUE ET PROFESSIONNEL(ITP) CERIN,PRIVE,12,ABIDJAN 1
037505,INSTITUT TECHNIQUE MALLET (ITM) PORT-BOUET,PRIVE,31,ABIDJAN 2
039689,COLLEGE CATHOLIQUE SAINT PAUL DE M'BADON,PRIVE,12,ABIDJAN 1
039695,COLLEGE PRIVE LES SCARABEES DE COCODY,PRIVE,12,ABIDJAN 1
039698,ECOLE SECONDAIRE ETIMOE / BINGERVILLE,PRIVE,12,ABIDJAN 1
039702,COLLEGE MARIE ROSE DE LIMA D'ABOBO PK 18,PRIVE,41,ABIDJAN 4
039705,COLLEGE PRIVE MAMADOU COULIBALY DE ABOBO SAMAKE,PRIVE,41,ABIDJAN 4
041602,COLLEGE MOAYE-DHAN / BINGERVILLE,PRIVE,12,ABIDJAN 1
041603,COLLEGE PRIVE ARHOGNINCI DE BINGERVILLE,PRIVE,12,ABIDJAN 1
041604,COLLEGE PRIVE LE MIRI DE BINGERVILLE,PRIVE,12,ABIDJAN 1
041608,COLLEGE PRIVE LES CARTESIENS D'ABIDJAN / PORT-BOUËT,PRIVE,31,ABIDJAN 2
041610,COLLEGE PRIVE DORIAN 2 DE YOPOUGON,PRIVE,40,ABIDJAN 3
